gamma,hazard_poor,inflation,mwr,pessimism,delta_c,ownership_pct
2.5,2.0716,0.0192,0.9045,0.9768,0.0228,37.14
2.5,3.0300,0.0159,0.9062,0.9770,0.0135,35.95
2.5,2.7219,0.0248,0.8328,0.9784,0.0210,16.80
2.5,3.3840,0.0176,0.8663,0.9761,0.0163,25.02
2.5,2.4968,0.0226,0.9003,0.9869,0.0145,40.06
2.5,3.1124,0.0244,0.8522,0.9943,0.0261,25.23
2.5,2.0180,0.0198,0.8810,0.9977,0.0221,43.89
2.5,3.3076,0.0175,0.8732,0.9842,0.0224,28.46
2.5,2.8173,0.0161,0.9022,0.9860,0.0204,37.46
2.5,2.3760,0.0169,0.8642,0.9753,0.0137,32.40
2.5,2.7514,0.0185,0.8437,0.9730,0.0231,19.78
2.5,3.1328,0.0205,0.8485,0.9985,0.0297,27.51
2.5,2.4931,0.0169,0.8353,0.9804,0.0105,30.01
2.5,2.3663,0.0194,0.8930,0.9768,0.0125,37.21
2.5,3.4584,0.0228,0.8770,0.9855,0.0183,28.04
2.5,2.3174,0.0160,0.8965,0.9823,0.0283,35.70
2.5,2.9224,0.0212,0.8727,0.9740,0.0280,20.70
2.5,2.7124,0.0245,0.8540,0.9946,0.0154,32.89
2.5,2.4734,0.0156,0.8651,0.9968,0.0207,38.79
2.5,2.3914,0.0153,0.8594,0.9821,0.0125,35.45
2.5,2.4975,0.0178,0.8685,0.9823,0.0210,32.04
2.5,2.1257,0.0168,0.8644,0.9832,0.0123,38.12
2.5,2.4143,0.0227,0.8858,0.9918,0.0191,38.65
2.5,2.4101,0.0164,0.9037,0.9963,0.0127,48.28
2.5,3.3054,0.0211,0.8937,0.9898,0.0190,34.22
2.5,3.4485,0.0170,0.8797,0.9795,0.0137,29.73
2.5,2.7773,0.0224,0.8328,0.9973,0.0289,25.37
2.5,3.0356,0.0150,0.8489,0.9793,0.0269,22.03
2.5,2.8643,0.0168,0.8784,0.9864,0.0267,31.38
2.5,2.0504,0.0233,0.8385,0.9959,0.0101,38.69
2.5,2.3725,0.0231,0.8387,0.9922,0.0272,28.04
2.5,3.3932,0.0231,0.8832,0.9891,0.0188,30.67
2.5,2.0782,0.0191,0.8617,0.9866,0.0108,39.67
2.5,3.2883,0.0227,0.8947,0.9849,0.0186,31.87
2.5,2.3516,0.0182,0.8358,0.9946,0.0226,32.33
2.5,2.3356,0.0216,0.8493,0.9997,0.0228,35.73
2.5,2.2109,0.0236,0.8518,0.9913,0.0112,37.10
2.5,2.3067,0.0233,0.8733,0.9941,0.0238,36.37
2.5,3.0091,0.0170,0.8757,0.9974,0.0216,36.65
2.5,2.8609,0.0181,0.8880,0.9805,0.0120,35.42
2.5,3.1183,0.0214,0.9058,0.9791,0.0157,33.91
2.5,2.5163,0.0242,0.8323,0.9863,0.0215,24.14
2.5,2.3262,0.0243,0.8404,0.9897,0.0216,28.95
2.5,3.3007,0.0248,0.8329,0.9783,0.0135,15.11
2.5,3.0250,0.0191,0.8955,0.9850,0.0137,36.51
2.5,2.6034,0.0155,0.9043,0.9996,0.0111,49.33
2.5,2.9351,0.0205,0.8515,0.9893,0.0113,31.62
2.5,3.0227,0.0165,0.8838,0.9790,0.0140,32.99
2.5,2.1965,0.0192,0.8915,0.9834,0.0265,35.59
2.5,2.4560,0.0208,0.9009,0.9963,0.0103,47.68
2.5,2.8903,0.0175,0.8699,0.9857,0.0123,34.57
2.5,3.3126,0.0168,0.8417,0.9777,0.0292,14.34
2.5,2.2295,0.0182,0.8572,0.9976,0.0185,39.92
2.5,2.3621,0.0182,0.8700,0.9889,0.0133,39.07
2.5,3.4552,0.0204,0.8343,0.9882,0.0276,15.74
2.5,3.1432,0.0155,0.8981,0.9720,0.0277,26.91
2.5,2.9055,0.0188,0.8493,0.9759,0.0245,20.20
2.5,2.9513,0.0237,0.8472,0.9862,0.0290,19.22
2.5,2.4575,0.0213,0.8847,0.9896,0.0284,34.40
2.5,2.3142,0.0171,0.8353,0.9759,0.0237,24.03
2.5,2.3762,0.0216,0.8501,0.9703,0.0234,21.40
2.5,3.4950,0.0220,0.8321,0.9725,0.0151,11.24
2.5,3.4431,0.0166,0.8331,0.9868,0.0160,23.51
2.5,3.3964,0.0219,0.8450,0.9897,0.0201,22.91
2.5,3.4060,0.0213,0.8749,0.9839,0.0262,24.03
2.5,2.9464,0.0205,0.8427,0.9838,0.0128,27.58
2.5,3.3486,0.0192,0.8302,0.9752,0.0175,14.44
2.5,3.4017,0.0244,0.8646,0.9807,0.0106,25.97
2.5,3.2908,0.0199,0.8695,0.9708,0.0157,22.45
2.5,2.5921,0.0195,0.8762,0.9711,0.0227,26.63
2.5,2.2228,0.0187,0.8460,0.9985,0.0218,37.00
2.5,2.1147,0.0231,0.8833,0.9749,0.0204,32.33
2.5,2.4847,0.0208,0.8959,0.9706,0.0231,29.52
2.5,3.1757,0.0211,0.8436,0.9842,0.0124,25.83
2.5,2.7647,0.0171,0.8866,0.9732,0.0275,27.23
2.5,2.9325,0.0227,0.8382,0.9735,0.0276,10.86
2.5,2.3805,0.0185,0.8336,0.9801,0.0226,24.91
2.5,3.4105,0.0228,0.8994,0.9777,0.0156,29.83
2.5,2.1197,0.0186,0.9090,0.9871,0.0163,44.94
2.5,2.2868,0.0184,0.8542,0.9974,0.0244,36.47
2.5,2.1523,0.0211,0.8771,0.9843,0.0180,37.00
2.5,3.2861,0.0164,0.8692,0.9975,0.0265,32.29
2.5,2.3185,0.0228,0.8842,0.9765,0.0108,35.56
2.5,2.0184,0.0159,0.8808,0.9912,0.0188,43.36
2.5,3.2700,0.0200,0.8314,0.9786,0.0151,18.31
2.5,2.1635,0.0235,0.9083,0.9887,0.0235,41.04
2.5,3.4302,0.0202,0.8818,0.9826,0.0245,26.28
2.5,2.8184,0.0154,0.8868,0.9717,0.0134,32.22
2.5,3.0113,0.0224,0.8385,0.9842,0.0190,21.54
2.5,2.7162,0.0218,0.8975,0.9811,0.0148,35.80
2.5,2.1201,0.0156,0.8886,0.9723,0.0140,36.82
2.5,2.2790,0.0199,0.8512,0.9914,0.0187,35.10
2.5,2.2755,0.0226,0.8578,0.9830,0.0230,29.55
2.5,3.2141,0.0249,0.8928,0.9844,0.0124,33.13
2.5,2.7990,0.0249,0.9082,0.9810,0.0274,30.85
2.5,2.3515,0.0151,0.8975,0.9912,0.0231,41.67
2.5,3.0842,0.0230,0.8434,0.9734,0.0112,19.61
2.5,2.0882,0.0217,0.8689,0.9866,0.0115,39.49
2.5,2.1986,0.0248,0.8499,0.9739,0.0113,28.46
2.5,3.4041,0.0215,0.8960,0.9799,0.0275,25.58
2.5,2.2916,0.0250,0.8837,0.9746,0.0260,28.22
2.5,2.2677,0.0167,0.9030,0.9892,0.0283,39.39
2.5,3.0268,0.0203,0.8411,0.9812,0.0292,16.58
2.5,2.4728,0.0157,0.8849,0.9771,0.0180,34.43
2.5,2.6091,0.0231,0.8353,0.9793,0.0140,24.39
2.5,2.0354,0.0204,0.8816,0.9837,0.0203,37.46
2.5,2.5375,0.0197,0.8916,0.9960,0.0176,42.80
2.5,2.3481,0.0220,0.8672,0.9741,0.0252,25.93
2.5,2.7144,0.0195,0.8323,0.9997,0.0276,28.85
2.5,2.9391,0.0187,0.8901,0.9773,0.0121,33.84
2.5,3.3733,0.0229,0.9071,0.9756,0.0134,31.41
2.5,3.4073,0.0153,0.8901,0.9716,0.0196,27.16
2.5,2.5865,0.0210,0.8835,0.9972,0.0175,40.93
2.5,2.7247,0.0235,0.8908,0.9932,0.0169,38.72
2.5,2.8314,0.0233,0.8346,0.9928,0.0152,28.25
2.5,2.6157,0.0202,0.8409,0.9790,0.0119,27.62
2.5,3.1217,0.0236,0.8981,0.9816,0.0213,30.22
2.5,2.2100,0.0230,0.8621,0.9761,0.0207,28.50
2.5,3.2431,0.0249,0.8366,0.9713,0.0186,9.77
2.5,2.1925,0.0194,0.8312,0.9819,0.0151,29.52
2.5,3.0478,0.0202,0.8685,1.0000,0.0117,38.83
2.5,3.0997,0.0188,0.8513,0.9816,0.0261,21.08
2.5,3.4064,0.0244,0.9023,0.9736,0.0120,29.23
2.5,2.8527,0.0217,0.8482,0.9934,0.0110,33.42
2.5,2.8203,0.0233,0.8441,0.9795,0.0290,16.06
2.5,2.8248,0.0237,0.8327,0.9811,0.0113,23.72
2.5,2.5706,0.0236,0.8400,0.9712,0.0161,19.82
2.5,3.0002,0.0160,0.8493,0.9827,0.0181,27.76
2.5,3.4442,0.0198,0.8534,0.9985,0.0239,28.74
2.5,3.4657,0.0227,0.8572,0.9913,0.0221,24.77
2.5,2.2120,0.0206,0.8428,0.9732,0.0117,28.39
2.5,2.7095,0.0152,0.8885,0.9950,0.0168,42.09
2.5,2.1013,0.0183,0.8807,0.9816,0.0125,39.70
2.5,2.9438,0.0202,0.8754,0.9897,0.0247,31.24
2.5,3.1751,0.0242,0.9055,0.9880,0.0288,31.20
2.5,2.4809,0.0202,0.8584,0.9971,0.0214,35.87
2.5,2.9844,0.0198,0.8521,0.9847,0.0290,22.21
2.5,2.7964,0.0200,0.8656,0.9757,0.0298,21.29
2.5,2.7771,0.0209,0.8377,0.9763,0.0191,20.10
2.5,2.9062,0.0213,0.8863,0.9792,0.0268,27.83
2.5,2.6489,0.0250,0.8900,0.9835,0.0141,35.17
2.5,2.6208,0.0211,0.8993,0.9847,0.0177,37.39
2.5,2.2377,0.0216,0.8551,0.9775,0.0180,29.27
2.5,3.3397,0.0170,0.8368,0.9772,0.0107,22.35
2.5,2.5048,0.0237,0.8710,0.9926,0.0271,32.36
2.5,3.1544,0.0154,0.8369,0.9747,0.0109,23.30
2.5,3.2987,0.0177,0.8541,0.9952,0.0188,30.85
2.5,3.4069,0.0194,0.8377,0.9731,0.0292,7.03
2.5,2.1741,0.0250,0.8559,0.9828,0.0272,27.41
2.5,2.2089,0.0194,0.8920,0.9708,0.0231,31.55
2.5,2.8588,0.0156,0.8464,0.9902,0.0141,32.75
2.5,2.6447,0.0192,0.8501,0.9951,0.0198,33.56
2.5,2.6875,0.0207,0.8574,0.9707,0.0197,22.63
2.5,3.4560,0.0235,0.8941,0.9815,0.0232,27.13
2.5,3.0508,0.0212,0.8843,0.9839,0.0158,32.75
2.5,2.4976,0.0155,0.8332,0.9830,0.0180,28.53
2.5,2.2727,0.0249,0.8304,0.9720,0.0101,23.44
2.5,2.5072,0.0223,0.8884,0.9777,0.0203,31.83
2.5,2.2365,0.0236,0.8537,0.9957,0.0205,35.56
2.5,3.2162,0.0178,0.8773,0.9944,0.0216,34.05
2.5,2.7243,0.0235,0.9012,0.9835,0.0225,34.01
2.5,2.8080,0.0222,0.8436,0.9849,0.0299,19.64
2.5,2.0823,0.0207,0.8347,0.9776,0.0245,24.70
2.5,2.1055,0.0189,0.8657,0.9741,0.0248,29.02
2.5,2.7176,0.0200,0.8533,0.9840,0.0183,28.99
2.5,2.1616,0.0175,0.8748,0.9864,0.0188,38.09
2.5,2.8598,0.0225,0.8336,0.9721,0.0152,17.18
2.5,2.8949,0.0184,0.8797,0.9962,0.0266,35.07
2.5,2.1402,0.0247,0.8451,0.9944,0.0189,34.33
2.5,2.3668,0.0186,0.8670,0.9917,0.0173,37.70
2.5,2.6264,0.0173,0.9027,0.9915,0.0252,39.04
2.5,2.6702,0.0219,0.8332,0.9772,0.0272,15.81
2.5,2.1588,0.0151,0.8678,0.9899,0.0276,36.19
2.5,2.1440,0.0236,0.8863,0.9966,0.0143,45.15
2.5,2.6838,0.0174,0.8531,0.9810,0.0165,29.44
2.5,2.4731,0.0153,0.8356,0.9869,0.0235,28.71
2.5,3.3591,0.0218,0.8373,0.9871,0.0213,19.01
2.5,2.6282,0.0168,0.8944,0.9994,0.0254,41.71
2.5,2.3067,0.0245,0.8866,0.9984,0.0206,41.85
2.5,2.9688,0.0211,0.8957,0.9977,0.0272,36.61
2.5,3.1692,0.0213,0.8931,0.9812,0.0229,29.44
2.5,2.3299,0.0239,0.9075,0.9793,0.0171,37.60
2.5,2.6938,0.0193,0.8431,0.9865,0.0229,26.88
2.5,2.2035,0.0241,0.8757,0.9770,0.0222,29.87
2.5,2.1773,0.0155,0.8816,0.9708,0.0221,31.80
2.5,2.8834,0.0173,0.8861,0.9989,0.0298,36.37
2.5,2.7125,0.0224,0.8805,0.9957,0.0128,40.27
2.5,2.9949,0.0215,0.8741,0.9726,0.0231,22.28
2.5,2.5813,0.0229,0.8996,0.9723,0.0193,30.92
2.5,3.0470,0.0163,0.9030,0.9788,0.0124,36.40
2.5,2.9016,0.0249,0.8605,0.9804,0.0276,19.82
2.5,3.4835,0.0229,0.8665,0.9750,0.0131,21.75
2.5,2.5537,0.0194,0.8378,0.9964,0.0164,33.94
2.5,2.0552,0.0226,0.8487,0.9831,0.0114,34.61
2.5,2.6000,0.0188,0.8970,0.9787,0.0139,36.79
2.5,2.3007,0.0195,0.8541,0.9904,0.0155,36.26
2.5,2.0102,0.0205,0.8402,0.9716,0.0118,28.85
2.5,2.8040,0.0168,0.8341,0.9945,0.0234,28.92
2.5,3.3313,0.0152,0.8513,0.9729,0.0211,19.22
2.5,2.7820,0.0235,0.8549,0.9715,0.0131,23.05
2.5,3.3265,0.0177,0.8647,0.9887,0.0115,32.92
2.5,2.0977,0.0214,0.8999,0.9809,0.0107,42.66
2.5,2.6663,0.0154,0.8877,0.9772,0.0168,34.15
2.5,3.2153,0.0248,0.9028,0.9872,0.0164,34.93
2.5,3.1758,0.0237,0.8590,0.9904,0.0226,26.35
2.5,3.0641,0.0159,0.8982,0.9795,0.0104,36.51
2.5,2.7010,0.0216,0.8332,0.9877,0.0244,23.72
2.5,2.6024,0.0233,0.8933,0.9829,0.0225,33.49
2.5,2.5605,0.0217,0.8673,0.9869,0.0264,29.59
2.5,2.3502,0.0192,0.8637,0.9876,0.0299,30.71
2.5,2.5452,0.0169,0.8437,0.9970,0.0228,33.94
2.5,2.5227,0.0240,0.9033,0.9769,0.0216,32.89
2.5,2.8226,0.0201,0.8338,0.9703,0.0177,16.94
2.5,2.7326,0.0196,0.8566,0.9920,0.0200,32.50
2.5,2.6454,0.0234,0.8675,0.9749,0.0149,27.93
2.5,2.9982,0.0229,0.9002,0.9979,0.0256,37.21
2.5,3.3730,0.0161,0.9041,0.9767,0.0157,32.75
2.5,2.8203,0.0202,0.8792,0.9992,0.0187,39.11
2.5,3.3751,0.0162,0.8422,0.9722,0.0219,15.14
2.5,2.0979,0.0206,0.8807,0.9722,0.0219,31.10
2.5,2.0687,0.0237,0.8302,0.9978,0.0256,31.34
2.5,3.2330,0.0244,0.9099,0.9747,0.0285,25.30
2.5,3.2005,0.0170,0.8691,0.9854,0.0296,26.28
2.5,2.5747,0.0181,0.9012,0.9760,0.0257,32.26
2.5,2.7252,0.0160,0.8412,0.9791,0.0198,25.65
2.5,2.3691,0.0238,0.8513,0.9802,0.0222,26.07
2.5,2.6915,0.0177,0.9044,0.9972,0.0298,39.53
2.5,2.6036,0.0239,0.8502,0.9941,0.0114,34.54
2.5,2.7046,0.0163,0.8372,0.9897,0.0176,30.32
2.5,3.3541,0.0239,0.8907,0.9995,0.0223,35.73
2.5,2.7914,0.0238,0.8633,0.9850,0.0193,28.53
2.5,2.8237,0.0177,0.8763,0.9934,0.0204,36.40
2.5,3.0215,0.0158,0.9000,0.9987,0.0215,41.39
2.5,2.8371,0.0191,0.8516,0.9704,0.0130,23.96
2.5,3.0878,0.0242,0.8999,0.9996,0.0202,39.07
2.5,3.3562,0.0219,0.8383,0.9974,0.0294,21.01
2.5,2.8993,0.0216,0.8587,0.9710,0.0238,18.27
2.5,2.9858,0.0244,0.8511,0.9902,0.0158,28.50
2.5,2.0473,0.0240,0.8768,0.9829,0.0164,36.51
2.5,3.2124,0.0223,0.9032,0.9976,0.0102,42.76
2.5,2.2638,0.0200,0.8931,0.9710,0.0119,35.49
2.5,2.0028,0.0245,0.8851,0.9826,0.0189,37.14
2.5,2.7568,0.0196,0.8973,0.9927,0.0184,39.92
2.5,2.0600,0.0212,0.8962,0.9847,0.0101,44.31
2.5,2.6325,0.0220,0.9046,0.9818,0.0238,34.47
2.5,3.2735,0.0179,0.8982,0.9761,0.0179,30.64
2.5,2.3348,0.0231,0.9076,0.9700,0.0253,30.60
2.5,2.7611,0.0216,0.8771,0.9730,0.0269,23.47
2.5,3.4896,0.0163,0.8613,0.9849,0.0137,29.20
2.5,3.0775,0.0182,0.8614,0.9929,0.0291,28.67
2.5,2.6726,0.0151,0.9083,0.9849,0.0205,39.11
2.5,2.0801,0.0153,0.8965,0.9982,0.0118,51.58
2.5,2.8505,0.0199,0.8690,0.9794,0.0158,29.66
2.5,3.0625,0.0205,0.8381,0.9891,0.0292,19.78
2.5,3.1139,0.0171,0.8540,0.9792,0.0289,19.71
2.5,3.3112,0.0208,0.8524,0.9820,0.0298,16.48
2.5,2.2844,0.0159,0.8677,0.9708,0.0230,28.57
2.5,3.1448,0.0194,0.8730,0.9950,0.0203,34.08
2.5,2.0682,0.0204,0.8356,0.9740,0.0205,25.05
2.5,2.8360,0.0196,0.8506,0.9897,0.0166,30.78
2.5,2.6526,0.0211,0.8592,0.9704,0.0254,19.75
2.5,2.0861,0.0191,0.8883,0.9949,0.0252,42.20
2.5,2.2245,0.0177,0.8716,0.9778,0.0121,36.19
2.5,2.6460,0.0181,0.8720,0.9716,0.0202,27.37
2.5,2.5461,0.0189,0.8758,0.9892,0.0118,39.28
2.5,3.2836,0.0215,0.8981,0.9751,0.0122,31.03
2.5,2.8396,0.0188,0.8723,0.9827,0.0149,32.50
2.5,3.2242,0.0207,0.8926,0.9798,0.0263,27.76
2.5,2.2567,0.0194,0.8421,0.9902,0.0200,32.64
2.5,3.2609,0.0234,0.8304,0.9775,0.0266,8.12
2.5,2.9143,0.0189,0.8774,0.9881,0.0215,32.92
2.5,2.5585,0.0176,0.8480,0.9783,0.0163,28.29
2.5,3.4742,0.0194,0.8350,0.9788,0.0170,16.90
2.5,2.1277,0.0243,0.8423,0.9984,0.0180,36.23
2.5,2.0821,0.0218,0.8398,0.9926,0.0172,35.00
2.5,3.1708,0.0184,0.8865,0.9873,0.0267,30.60
2.5,3.1577,0.0234,0.8893,0.9832,0.0173,30.96
2.5,3.2750,0.0175,0.8364,0.9768,0.0285,12.68
2.5,3.0592,0.0190,0.8477,0.9960,0.0189,31.06
2.5,2.5427,0.0212,0.9014,0.9928,0.0154,42.94
2.5,2.4440,0.0171,0.8724,0.9728,0.0129,32.29
2.5,3.2260,0.0225,0.8746,0.9752,0.0230,20.91
2.5,3.1819,0.0173,0.8487,0.9717,0.0146,21.22
2.5,2.9678,0.0159,0.8708,0.9983,0.0101,41.64
2.5,2.3356,0.0165,0.8819,0.9868,0.0112,41.92
2.5,3.0520,0.0151,0.8493,0.9882,0.0136,31.59
2.5,2.5285,0.0230,0.8927,0.9866,0.0218,35.66
2.5,3.1583,0.0247,0.9084,0.9843,0.0166,34.96
2.5,2.5080,0.0216,0.8355,0.9790,0.0206,23.01
2.5,2.4167,0.0191,0.9000,0.9869,0.0154,41.71
2.5,2.2214,0.0212,0.9093,0.9913,0.0268,41.32
2.5,3.2066,0.0228,0.8908,0.9943,0.0100,38.97
2.5,2.3776,0.0219,0.8933,0.9717,0.0202,30.92
2.5,2.6379,0.0151,0.8598,0.9716,0.0181,27.20
2.5,2.8343,0.0159,0.8410,0.9929,0.0122,33.98
2.5,2.9455,0.0156,0.8715,0.9764,0.0222,27.55
2.5,2.2484,0.0210,0.9031,0.9853,0.0151,42.20
2.5,2.7624,0.0172,0.9005,0.9956,0.0178,42.94
2.5,2.4858,0.0241,0.8549,0.9940,0.0141,35.28
2.5,2.0112,0.0215,0.8544,0.9731,0.0282,24.91
2.5,3.3999,0.0205,0.8582,0.9732,0.0144,20.27
2.5,2.4847,0.0241,0.8894,0.9882,0.0199,36.44
2.5,3.4043,0.0240,0.8455,0.9824,0.0257,13.53
2.5,3.4506,0.0204,0.8517,0.9723,0.0183,16.20
2.5,2.6564,0.0229,0.8858,0.9730,0.0209,28.04
2.5,3.3641,0.0196,0.8991,0.9889,0.0177,35.38
2.5,2.5998,0.0184,0.8340,0.9825,0.0136,28.18
2.5,2.8882,0.0248,0.9074,0.9896,0.0214,36.54
2.5,3.0013,0.0161,0.9005,0.9779,0.0109,36.47
2.5,2.2866,0.0159,0.8741,0.9815,0.0208,34.89
2.5,2.1709,0.0213,0.8707,0.9929,0.0185,39.14
2.5,3.1938,0.0226,0.8819,0.9990,0.0131,38.40
2.5,3.0821,0.0158,0.9025,0.9759,0.0116,35.52
2.5,2.1614,0.0194,0.8387,0.9811,0.0233,27.48
2.5,2.6007,0.0227,0.8320,0.9910,0.0106,30.36
2.5,2.0127,0.0177,0.8750,0.9972,0.0252,42.09
2.5,2.8551,0.0151,0.8974,0.9964,0.0279,38.65
2.5,3.1412,0.0208,0.8952,0.9830,0.0179,32.99
2.5,2.0962,0.0237,0.8434,0.9711,0.0187,24.14
2.5,3.3066,0.0161,0.8497,0.9936,0.0289,26.53
2.5,2.7460,0.0166,0.8868,0.9923,0.0259,36.37
2.5,3.4706,0.0177,0.8855,0.9946,0.0226,33.73
2.5,3.3960,0.0177,0.8810,0.9980,0.0201,35.80
2.5,2.2143,0.0232,0.8436,0.9717,0.0137,25.61
2.5,3.2354,0.0202,0.8804,0.9728,0.0294,18.69
2.5,2.2483,0.0179,0.8519,0.9904,0.0158,36.89
2.5,2.7513,0.0166,0.9016,0.9871,0.0288,35.42
2.5,2.5186,0.0185,0.8566,0.9850,0.0168,32.47
2.5,2.7505,0.0227,0.8793,0.9870,0.0218,32.04
2.5,2.7266,0.0193,0.9026,0.9983,0.0160,44.52
2.5,2.4434,0.0176,0.8321,0.9768,0.0164,25.65
2.5,2.4810,0.0151,0.8875,0.9700,0.0183,31.94
2.5,3.0472,0.0163,0.8917,0.9913,0.0149,38.90
2.5,2.0864,0.0191,0.8618,0.9719,0.0210,28.99
