gamma,hazard_poor,inflation,mwr,pessimism,delta_c,ownership_pct
2.5,2.4076,0.0244,0.9003,0.9869,0.0237,36.65
2.5,2.6651,0.0170,0.9042,0.9897,0.0222,39.56
2.5,2.7886,0.0248,0.8896,0.9703,0.0218,25.58
2.5,3.3509,0.0208,0.8881,0.9979,0.0246,34.57
2.5,2.1063,0.0200,0.8353,0.9945,0.0222,33.56
2.5,3.1997,0.0222,0.8654,0.9899,0.0230,27.97
2.5,2.8686,0.0245,0.8911,0.9947,0.0190,37.32
2.5,2.5690,0.0195,0.8539,0.9926,0.0217,32.57
2.5,3.0836,0.0215,0.9019,0.9908,0.0290,33.35
2.5,2.0922,0.0151,0.8317,0.9727,0.0197,26.21
2.5,2.7592,0.0173,0.8935,0.9773,0.0207,32.64
2.5,3.0948,0.0183,0.8707,0.9881,0.0101,35.03
2.5,2.4915,0.0207,0.8929,0.9812,0.0164,36.33
2.5,3.0959,0.0209,0.8652,0.9819,0.0153,28.46
2.5,2.2830,0.0242,0.8926,0.9741,0.0216,31.20
2.5,2.6586,0.0166,0.8483,0.9959,0.0224,33.42
2.5,3.0396,0.0183,0.8829,0.9924,0.0156,37.35
2.5,2.1424,0.0230,0.8435,0.9895,0.0181,32.82
2.5,2.5866,0.0160,0.9090,0.9783,0.0111,40.55
2.5,3.0445,0.0249,0.8880,0.9779,0.0297,22.49
2.5,3.0704,0.0188,0.8660,0.9721,0.0131,26.18
2.5,2.1404,0.0200,0.8833,0.9964,0.0152,45.29
2.5,2.5130,0.0157,0.8616,0.9750,0.0259,26.49
2.5,3.0853,0.0176,0.8614,0.9819,0.0295,22.94
2.5,2.9935,0.0205,0.8490,0.9735,0.0285,14.34
2.5,2.5364,0.0225,0.8956,0.9764,0.0258,29.83
2.5,2.8081,0.0164,0.8896,0.9728,0.0248,28.57
2.5,2.0362,0.0185,0.9056,0.9923,0.0103,49.86
2.5,2.5103,0.0157,0.8322,0.9750,0.0235,22.24
2.5,2.1647,0.0216,0.9091,0.9924,0.0214,44.24
2.5,2.9325,0.0226,0.8922,0.9801,0.0270,28.25
2.5,2.1442,0.0247,0.8458,0.9814,0.0167,29.16
2.5,2.7151,0.0160,0.8671,0.9888,0.0199,34.26
2.5,3.3652,0.0224,0.8674,0.9707,0.0220,16.41
2.5,2.5989,0.0151,0.8471,0.9904,0.0263,30.57
2.5,3.4229,0.0202,0.8879,0.9970,0.0128,38.05
2.5,3.3284,0.0239,0.9002,0.9974,0.0139,39.42
2.5,3.2440,0.0188,0.8829,0.9817,0.0258,27.69
2.5,2.9391,0.0162,0.8396,0.9806,0.0238,22.31
2.5,3.0948,0.0157,0.8407,0.9844,0.0103,29.20
2.5,2.3245,0.0188,0.8924,0.9735,0.0170,34.65
2.5,2.0161,0.0187,0.8908,0.9927,0.0100,48.45
2.5,2.6683,0.0189,0.8763,0.9894,0.0150,37.17
2.5,2.9847,0.0225,0.8700,0.9896,0.0160,32.26
2.5,3.2725,0.0153,0.8596,0.9988,0.0121,37.10
2.5,3.0534,0.0239,0.8623,0.9876,0.0177,28.32
2.5,3.2618,0.0199,0.8923,0.9774,0.0296,24.63
2.5,2.4358,0.0198,0.9035,0.9945,0.0192,43.61
2.5,3.2049,0.0180,0.8358,0.9764,0.0153,19.68
2.5,3.0010,0.0163,0.8780,0.9776,0.0214,28.88
2.5,3.4913,0.0227,0.8404,0.9816,0.0297,9.42
2.5,2.1632,0.0191,0.8634,0.9970,0.0198,40.41
2.5,3.3049,0.0185,0.8508,0.9738,0.0278,13.91
2.5,2.2944,0.0202,0.8999,0.9812,0.0163,38.93
2.5,3.3526,0.0226,0.8780,0.9772,0.0156,26.04
2.5,2.1739,0.0229,0.8695,0.9777,0.0246,29.30
2.5,3.3867,0.0198,0.8970,0.9870,0.0195,33.45
2.5,3.0929,0.0243,0.8383,0.9805,0.0235,14.65
2.5,3.4582,0.0239,0.8903,0.9917,0.0224,31.03
2.5,3.2622,0.0155,0.8585,0.9948,0.0273,29.23
2.5,2.9229,0.0212,0.8757,0.9908,0.0190,33.84
2.5,2.0477,0.0229,0.9050,0.9969,0.0268,43.92
2.5,2.3896,0.0236,0.8971,0.9744,0.0166,33.73
2.5,3.4568,0.0239,0.9085,0.9762,0.0101,32.26
2.5,2.1441,0.0171,0.8597,0.9965,0.0138,43.29
2.5,2.8746,0.0153,0.8339,0.9884,0.0204,27.44
2.5,2.4319,0.0173,0.8883,0.9737,0.0205,32.50
2.5,2.5411,0.0213,0.8433,0.9748,0.0280,18.31
2.5,2.3508,0.0176,0.8440,0.9780,0.0141,29.97
2.5,2.2721,0.0185,0.8891,0.9807,0.0221,35.45
2.5,2.2852,0.0161,0.8834,0.9833,0.0212,36.72
2.5,3.1254,0.0189,0.8800,0.9764,0.0185,28.25
2.5,2.6873,0.0194,0.8629,0.9755,0.0286,22.84
2.5,3.0169,0.0220,0.8508,0.9758,0.0182,20.45
2.5,3.4228,0.0151,0.8577,0.9810,0.0195,25.26
2.5,2.0559,0.0194,0.8937,0.9776,0.0187,37.35
2.5,2.7132,0.0192,0.8860,0.9731,0.0193,29.69
2.5,3.1973,0.0169,0.8743,0.9933,0.0116,37.28
2.5,2.0419,0.0182,0.8663,0.9787,0.0272,31.13
2.5,2.8868,0.0181,0.8431,0.9742,0.0138,23.75
2.5,2.3065,0.0157,0.9045,0.9908,0.0227,43.11
2.5,3.4485,0.0188,0.8896,0.9913,0.0165,35.10
2.5,2.7108,0.0230,0.8523,0.9981,0.0127,36.23
2.5,2.7155,0.0194,0.8922,0.9791,0.0209,32.64
2.5,2.2765,0.0217,0.8667,0.9853,0.0143,35.91
2.5,2.2107,0.0199,0.8791,0.9861,0.0255,35.14
2.5,3.1544,0.0242,0.8480,0.9826,0.0148,22.94
2.5,3.2984,0.0205,0.8868,0.9795,0.0192,28.71
2.5,2.0314,0.0163,0.8927,0.9842,0.0232,39.39
2.5,2.6361,0.0190,0.8502,0.9742,0.0265,20.98
2.5,3.1137,0.0173,0.9057,0.9724,0.0256,28.50
2.5,3.4224,0.0179,0.8676,0.9964,0.0244,31.03
2.5,3.1042,0.0157,0.9062,0.9786,0.0267,31.48
2.5,2.5763,0.0187,0.8397,0.9888,0.0230,28.60
2.5,2.9599,0.0241,0.8926,0.9854,0.0175,33.42
2.5,2.8457,0.0184,0.8380,0.9984,0.0288,28.53
2.5,2.2866,0.0190,0.8565,0.9921,0.0155,37.46
2.5,2.6953,0.0216,0.8961,0.9903,0.0146,39.74
2.5,3.0183,0.0186,0.8791,0.9830,0.0237,29.55
2.5,2.1288,0.0155,0.8947,0.9932,0.0207,44.66
2.5,2.3188,0.0225,0.8730,0.9751,0.0208,29.23
2.5,2.9946,0.0226,0.8326,0.9988,0.0206,27.93
2.5,2.0017,0.0162,0.9001,0.9953,0.0171,48.59
2.5,2.0026,0.0164,0.8315,0.9967,0.0144,39.25
2.5,3.1432,0.0162,0.8812,0.9710,0.0237,24.21
2.5,2.3765,0.0216,0.8904,0.9997,0.0197,43.75
2.5,2.1334,0.0168,0.8646,0.9794,0.0274,30.82
2.5,2.0305,0.0187,0.8688,1.0000,0.0120,47.86
2.5,2.8284,0.0166,0.9087,0.9857,0.0142,40.79
2.5,2.6044,0.0171,0.8305,0.9868,0.0191,27.90
2.5,2.2386,0.0235,0.8664,0.9991,0.0250,37.53
2.5,2.9414,0.0236,0.9051,0.9745,0.0201,29.94
2.5,3.4188,0.0232,0.8578,0.9986,0.0149,31.80
2.5,2.4199,0.0241,0.8555,0.9971,0.0139,37.35
2.5,2.1374,0.0223,0.8480,0.9951,0.0257,33.73
2.5,2.6778,0.0199,0.8608,0.9996,0.0145,39.07
2.5,2.3652,0.0247,0.8574,0.9748,0.0241,23.40
2.5,3.3351,0.0156,0.8338,0.9908,0.0115,28.88
2.5,2.9710,0.0209,0.8410,0.9715,0.0116,20.48
2.5,2.7883,0.0162,0.8846,0.9824,0.0195,33.94
2.5,2.6651,0.0157,0.8762,0.9793,0.0188,32.64
2.5,3.3418,0.0198,0.9003,0.9892,0.0103,38.33
2.5,2.0757,0.0161,0.8549,0.9932,0.0183,39.39
2.5,2.9783,0.0213,0.8850,0.9961,0.0194,37.00
2.5,3.0576,0.0231,0.8438,0.9834,0.0141,24.49
2.5,2.9360,0.0228,0.8304,0.9789,0.0143,19.57
2.5,2.4435,0.0209,0.8435,0.9714,0.0194,22.17
2.5,2.5362,0.0168,0.8495,0.9866,0.0278,28.32
2.5,2.6669,0.0164,0.8453,0.9879,0.0135,32.85
2.5,2.2582,0.0184,0.8814,0.9862,0.0223,36.82
2.5,3.4073,0.0173,0.8503,0.9795,0.0127,25.09
2.5,2.9503,0.0192,0.8877,0.9936,0.0164,38.48
2.5,2.3114,0.0241,0.8513,0.9952,0.0146,36.54
2.5,2.8383,0.0209,0.8966,0.9997,0.0159,43.25
2.5,2.7718,0.0227,0.8305,0.9762,0.0246,13.60
2.5,2.7804,0.0225,0.8945,0.9889,0.0252,34.26
2.5,2.1678,0.0241,0.8516,0.9987,0.0150,39.04
2.5,2.5623,0.0194,0.8619,0.9950,0.0161,37.53
2.5,2.9506,0.0161,0.8816,0.9799,0.0197,31.38
2.5,3.3545,0.0180,0.8487,0.9993,0.0300,27.48
2.5,2.1980,0.0224,0.8618,0.9848,0.0276,29.66
2.5,3.2661,0.0226,0.8928,0.9821,0.0150,31.83
2.5,3.3124,0.0212,0.9047,0.9751,0.0214,28.50
2.5,3.3381,0.0215,0.8641,0.9720,0.0198,18.27
2.5,2.6631,0.0248,0.8853,0.9704,0.0293,21.26
2.5,3.4515,0.0247,0.9022,0.9756,0.0174,27.69
2.5,2.6432,0.0174,0.8845,0.9967,0.0177,41.81
2.5,2.1171,0.0233,0.8760,0.9876,0.0122,40.23
2.5,2.5516,0.0173,0.8662,0.9768,0.0280,26.67
2.5,3.0894,0.0230,0.8695,0.9921,0.0155,32.57
2.5,3.1872,0.0189,0.8880,0.9885,0.0229,32.61
2.5,2.2157,0.0208,0.8840,0.9794,0.0168,35.70
2.5,3.2889,0.0179,0.8677,0.9897,0.0148,32.57
2.5,3.2561,0.0197,0.8759,0.9963,0.0157,36.02
2.5,2.0243,0.0181,0.8948,0.9839,0.0262,37.81
2.5,2.5193,0.0245,0.9065,0.9881,0.0292,35.10
2.5,2.6292,0.0228,0.9094,0.9977,0.0234,42.13
2.5,2.1749,0.0162,0.8900,0.9823,0.0282,35.66
2.5,2.2281,0.0168,0.8947,0.9817,0.0168,39.67
2.5,3.2490,0.0167,0.8871,0.9811,0.0100,34.47
2.5,3.1571,0.0177,0.8408,0.9866,0.0135,27.93
2.5,2.1652,0.0227,0.8540,0.9809,0.0120,33.20
2.5,2.4453,0.0157,0.8305,0.9759,0.0260,21.78
2.5,2.1806,0.0177,0.8606,0.9941,0.0259,36.47
2.5,3.0489,0.0205,0.9061,0.9757,0.0296,27.90
2.5,2.0243,0.0212,0.8511,0.9803,0.0175,31.83
2.5,2.7297,0.0241,0.8981,0.9994,0.0260,38.86
2.5,3.3413,0.0209,0.8833,0.9858,0.0193,30.29
2.5,2.1912,0.0187,0.9011,0.9833,0.0275,36.93
2.5,2.5830,0.0237,0.8417,0.9869,0.0287,22.56
2.5,3.3266,0.0176,0.8361,0.9808,0.0126,22.98
2.5,2.9488,0.0220,0.8876,0.9739,0.0295,22.91
2.5,2.2178,0.0155,0.9089,0.9841,0.0167,43.71
2.5,2.7025,0.0241,0.9067,0.9994,0.0191,43.15
2.5,3.3217,0.0208,0.8910,0.9705,0.0214,23.37
2.5,3.2595,0.0210,0.8313,0.9881,0.0272,16.27
2.5,2.5929,0.0218,0.8610,0.9738,0.0230,23.79
2.5,2.8764,0.0176,0.8533,0.9980,0.0234,33.20
2.5,2.0061,0.0179,0.8706,0.9836,0.0203,36.82
2.5,2.6965,0.0236,0.8967,0.9766,0.0263,28.71
2.5,3.4180,0.0174,0.8326,0.9920,0.0221,22.87
2.5,3.1932,0.0238,0.9061,0.9739,0.0273,25.33
2.5,2.7637,0.0182,0.9020,0.9776,0.0100,37.35
2.5,3.1759,0.0248,0.9025,0.9720,0.0290,21.64
2.5,2.8059,0.0224,0.8856,0.9825,0.0166,33.10
2.5,2.1660,0.0228,0.8552,0.9898,0.0180,35.10
2.5,2.0633,0.0204,0.8780,0.9946,0.0127,45.26
2.5,2.9098,0.0168,0.9004,0.9816,0.0144,37.00
2.5,2.5596,0.0180,0.8858,0.9851,0.0275,33.10
2.5,3.4821,0.0247,0.8334,0.9912,0.0126,21.71
2.5,2.8772,0.0236,0.8419,0.9772,0.0222,17.46
2.5,3.0198,0.0195,0.8792,0.9933,0.0282,31.73
2.5,2.9835,0.0232,0.8402,0.9833,0.0138,24.24
2.5,2.6603,0.0152,0.8574,0.9955,0.0104,40.09
2.5,2.8549,0.0153,0.9009,0.9820,0.0230,34.79
2.5,2.5028,0.0190,0.8790,0.9864,0.0229,34.61
2.5,3.3738,0.0162,0.8633,0.9733,0.0219,20.34
2.5,2.4363,0.0151,0.8430,0.9752,0.0280,23.26
2.5,2.0981,0.0151,0.8779,0.9911,0.0151,44.03
2.5,2.6458,0.0187,0.9024,0.9730,0.0156,34.47
2.5,2.2849,0.0178,0.8342,0.9722,0.0265,20.80
2.5,2.5418,0.0163,0.8470,0.9886,0.0166,33.27
2.5,3.1383,0.0217,0.8508,0.9917,0.0260,25.26
2.5,2.0744,0.0168,0.8579,0.9846,0.0284,32.01
2.5,2.6876,0.0191,0.8746,0.9795,0.0143,32.61
2.5,2.1640,0.0215,0.9054,0.9781,0.0222,36.86
2.5,2.1429,0.0154,0.8439,0.9713,0.0181,27.72
2.5,2.7130,0.0226,0.8935,0.9964,0.0292,36.12
2.5,2.4146,0.0176,0.8976,0.9741,0.0141,36.44
2.5,3.1370,0.0169,0.8416,0.9790,0.0275,17.67
2.5,3.0602,0.0209,0.8314,0.9859,0.0169,23.01
2.5,2.1074,0.0215,0.8352,0.9899,0.0100,35.66
2.5,3.3412,0.0176,0.8828,0.9778,0.0254,25.65
2.5,2.1363,0.0246,0.8989,0.9931,0.0134,45.50
2.5,3.4342,0.0246,0.8880,0.9805,0.0202,26.00
2.5,3.3537,0.0213,0.8663,0.9705,0.0171,19.15
2.5,3.0202,0.0247,0.8971,0.9794,0.0101,34.01
2.5,2.0382,0.0237,0.8795,0.9975,0.0300,38.40
2.5,2.8254,0.0207,0.8302,0.9748,0.0176,17.85
2.5,2.5744,0.0170,0.8882,0.9999,0.0131,46.24
2.5,2.2336,0.0179,0.8753,0.9703,0.0251,28.25
2.5,3.0586,0.0192,0.8926,0.9726,0.0282,24.70
2.5,2.7410,0.0214,0.9087,0.9804,0.0245,33.91
2.5,3.3242,0.0228,0.8416,0.9826,0.0285,12.65
2.5,2.3563,0.0197,0.8482,0.9914,0.0264,30.78
2.5,3.1943,0.0187,0.8701,0.9797,0.0162,28.50
2.5,2.1694,0.0213,0.8744,0.9987,0.0200,42.34
2.5,2.1065,0.0214,0.8477,0.9982,0.0125,41.11
2.5,2.6306,0.0204,0.8604,0.9938,0.0179,35.14
2.5,3.4252,0.0173,0.8846,0.9804,0.0249,27.23
2.5,2.2434,0.0165,0.8743,0.9925,0.0271,37.14
2.5,2.6242,0.0244,0.8962,0.9777,0.0157,33.56
2.5,2.4976,0.0180,0.8602,0.9839,0.0107,35.52
2.5,2.9992,0.0153,0.9068,0.9804,0.0284,32.50
2.5,3.3072,0.0194,0.8781,0.9719,0.0164,25.05
2.5,3.3675,0.0246,0.8738,0.9945,0.0298,26.32
2.5,3.4972,0.0236,0.8519,0.9916,0.0213,23.09
2.5,3.2835,0.0153,0.8670,0.9902,0.0151,33.45
2.5,3.0751,0.0175,0.8718,0.9888,0.0153,34.08
2.5,2.9212,0.0221,0.8786,0.9960,0.0229,34.86
2.5,2.8739,0.0178,0.8924,0.9892,0.0189,37.14
2.5,3.4183,0.0236,0.8992,0.9730,0.0288,20.17
2.5,3.2580,0.0246,0.8690,0.9707,0.0181,18.31
2.5,2.4733,0.0250,0.8378,0.9969,0.0210,30.04
2.5,2.1415,0.0160,0.8721,0.9804,0.0185,36.02
2.5,2.4652,0.0231,0.8742,0.9747,0.0186,28.85
2.5,3.4520,0.0191,0.8572,0.9962,0.0133,32.71
2.5,3.2422,0.0203,0.8777,0.9886,0.0296,27.83
2.5,3.1130,0.0204,0.9019,0.9994,0.0170,41.99
2.5,2.5670,0.0215,0.8330,0.9960,0.0190,30.46
2.5,2.0474,0.0195,0.9047,0.9918,0.0227,44.24
2.5,2.8293,0.0229,0.8431,0.9968,0.0289,26.53
2.5,3.1697,0.0196,0.8487,0.9769,0.0207,19.33
2.5,2.1111,0.0184,0.8962,0.9936,0.0296,40.76
2.5,3.3256,0.0156,0.8829,0.9918,0.0211,34.15
2.5,3.0957,0.0221,0.8709,0.9759,0.0259,20.38
2.5,2.8556,0.0177,0.9014,0.9962,0.0119,44.52
2.5,2.0769,0.0194,0.8909,0.9875,0.0145,43.68
2.5,2.5929,0.0207,0.8314,0.9983,0.0112,34.89
2.5,3.3645,0.0214,0.8369,0.9966,0.0222,24.42
2.5,3.1701,0.0175,0.8502,0.9891,0.0274,25.09
2.5,2.4076,0.0211,0.8795,0.9742,0.0121,33.24
2.5,2.9222,0.0241,0.9075,0.9813,0.0272,30.25
2.5,2.1267,0.0245,0.8623,0.9878,0.0247,32.33
2.5,3.4463,0.0200,0.8572,0.9889,0.0116,29.52
2.5,2.1144,0.0172,0.8776,0.9741,0.0185,33.91
2.5,2.2393,0.0164,0.8519,0.9856,0.0106,37.10
2.5,2.8853,0.0216,0.8558,0.9944,0.0285,28.36
2.5,2.4810,0.0179,0.8305,0.9790,0.0167,25.83
2.5,2.2684,0.0164,0.8986,0.9752,0.0121,38.83
2.5,2.9258,0.0237,0.8721,0.9973,0.0283,31.59
2.5,2.1110,0.0187,0.8395,0.9945,0.0259,33.31
2.5,2.4858,0.0215,0.8423,0.9752,0.0254,20.17
2.5,2.9055,0.0155,0.8697,0.9947,0.0293,32.89
2.5,2.8032,0.0200,0.8926,0.9877,0.0265,33.73
2.5,2.2173,0.0223,0.8690,0.9849,0.0255,31.87
2.5,3.4662,0.0186,0.8695,0.9995,0.0168,35.03
2.5,2.6048,0.0179,0.8602,0.9752,0.0260,24.84
2.5,2.5687,0.0239,0.8433,0.9784,0.0219,21.64
2.5,2.4287,0.0221,0.8332,0.9844,0.0189,26.18
2.5,2.9876,0.0202,0.9051,0.9807,0.0244,31.97
2.5,2.7151,0.0222,0.8560,0.9831,0.0121,30.01
2.5,2.1942,0.0239,0.9035,0.9818,0.0126,41.18
2.5,3.2397,0.0248,0.8962,0.9954,0.0259,33.20
2.5,3.4062,0.0243,0.8911,0.9765,0.0100,29.48
2.5,2.6305,0.0208,0.8796,0.9719,0.0247,25.97
2.5,2.1457,0.0247,0.8702,0.9758,0.0158,31.20
2.5,3.2845,0.0237,0.8385,0.9820,0.0110,21.05
2.5,3.1850,0.0186,0.9012,0.9946,0.0191,38.79
2.5,2.4044,0.0179,0.8635,0.9745,0.0267,26.35
2.5,2.7138,0.0234,0.8392,0.9979,0.0229,29.16
2.5,2.8246,0.0186,0.8431,0.9801,0.0215,23.58
2.5,3.4319,0.0197,0.8779,0.9720,0.0279,17.46
2.5,2.8799,0.0229,0.8428,0.9956,0.0258,26.95
2.5,3.1007,0.0173,0.8972,0.9990,0.0111,44.17
2.5,2.2303,0.0173,0.8400,0.9723,0.0266,22.63
2.5,2.1814,0.0212,0.8739,0.9912,0.0105,42.69
2.5,2.7995,0.0201,0.8675,0.9814,0.0294,25.37
2.5,3.3657,0.0237,0.8619,0.9753,0.0276,13.32
2.5,2.6473,0.0197,0.9008,0.9984,0.0286,39.67
2.5,3.1920,0.0245,0.8449,0.9874,0.0259,18.06
2.5,2.6858,0.0245,0.8736,0.9751,0.0179,27.16
2.5,2.1907,0.0205,0.8908,1.0000,0.0219,44.66
2.5,2.4442,0.0188,0.8400,0.9876,0.0107,33.66
2.5,2.1697,0.0229,0.8901,0.9967,0.0151,45.43
2.5,3.4785,0.0240,0.8785,0.9941,0.0189,31.17
2.5,3.2051,0.0222,0.8807,0.9991,0.0149,37.60
2.5,2.7008,0.0182,0.8744,0.9828,0.0269,29.44
2.5,3.2680,0.0154,0.8950,0.9937,0.0250,35.73
2.5,2.7586,0.0250,0.9096,0.9884,0.0224,36.82
2.5,3.4236,0.0184,0.8908,0.9738,0.0146,28.71
2.5,2.3420,0.0188,0.9023,0.9760,0.0158,37.32
2.5,2.9802,0.0161,0.8600,0.9757,0.0252,23.05
2.5,3.1580,0.0187,0.8374,0.9902,0.0119,28.81
2.5,3.4948,0.0182,0.8741,0.9905,0.0227,29.52
2.5,2.0475,0.0218,0.9080,0.9847,0.0189,42.38
2.5,2.2809,0.0220,0.8468,0.9740,0.0178,25.83
2.5,2.6873,0.0225,0.8437,0.9772,0.0278,17.57
2.5,2.6158,0.0248,0.8996,0.9964,0.0253,38.55
2.5,2.4902,0.0217,0.8545,0.9713,0.0275,19.61
2.5,3.0211,0.0201,0.8481,0.9823,0.0188,24.81
2.5,2.4327,0.0177,0.8536,0.9959,0.0205,36.30
2.5,2.5792,0.0165,0.8420,0.9937,0.0165,34.33
2.5,2.7475,0.0212,0.8469,0.9742,0.0269,17.43
2.5,2.1768,0.0248,0.8346,0.9922,0.0230,29.02
2.5,3.2399,0.0208,0.8728,0.9904,0.0199,31.06
2.5,2.0060,0.0237,0.8935,0.9786,0.0167,37.88
2.5,2.6084,0.0159,0.8326,0.9790,0.0177,25.69
2.5,3.2291,0.0180,0.8438,0.9782,0.0273,16.48
2.5,3.4871,0.0245,0.8904,0.9898,0.0159,32.40
2.5,2.9578,0.0151,0.8727,0.9987,0.0269,35.63
2.5,2.1746,0.0182,0.8782,0.9807,0.0161,36.96
2.5,3.2554,0.0156,0.8951,0.9761,0.0196,30.53
2.5,2.0881,0.0174,0.9023,0.9979,0.0113,52.14
